日付,10R_1着,10R_2着,10R_3着,10R_払戻,11R_1着,11R_2着,11R_3着,11R_払戻,12R_1着,12R_2着,12R_3着,12R_払戻,10R_人気,11R_人気,12R_人気,10R_風速,10R_風向,10R_波高,11R_風速,11R_風向,11R_波高,12R_風速,12R_風向,12R_波高
2023-10-06,5,4,1,14880,1,4,3,1150,2,3,,100,38,3,,4,13,3,1,3,1,1,15,1
2023-10-07,1,3,5,1020,1,3,2,420,1,6,4,8920,5,2,25,1,1,1,1,1,1,1,13,1
2023-10-08,1,2,4,730,3,1,6,7860,1,2,3,590,1,22,1,1,5,1,1,3,1,1,1,1
2023-10-10,4,1,3,16730,1,2,3,840,1,2,5,2370,38,2,9,3,11,2,2,11,1,2,11,1
2023-10-11,4,2,3,77150,1,2,3,580,1,5,2,860,111,1,2,3,11,2,3,11,2,3,11,2
2023-10-12,1,3,2,1530,1,2,6,500,1,3,5,1730,9,1,6,4,11,3,4,11,3,4,11,3
2023-10-13,1,4,2,1010,1,2,3,880,4,3,5,6010,3,3,20,3,9,2,2,9,1,2,9,1
2023-10-14,1,2,3,560,1,4,2,790,1,5,4,6530,1,3,25,3,11,2,4,13,3,3,13,2
2023-10-15,6,2,3,337980,2,1,6,19620,2,1,3,2250,112,39,9,4,11,3,2,11,1,1,11,1
2023-10-19,3,6,4,73480,4,1,5,13230,4,2,5,6940,76,27,27,1,1,1,2,15,1,2,15,1
2023-10-20,3,1,6,2680,1,2,3,530,1,6,5,11660,12,1,36,2,11,1,2,11,1,2,15,1
2023-10-21,1,5,3,1190,1,3,5,2190,1,2,4,1020,5,10,2,1,11,1,1,11,1,1,15,1
2023-10-22,1,2,3,550,6,1,4,186690,4,1,6,16200,1,101,40,1,11,1,1,15,1,1,15,1
2023-10-28,6,1,5,64800,1,2,3,1930,1,5,2,3150,107,4,12,2,11,1,2,11,1,1,1,1
2023-10-29,1,3,6,900,1,2,3,550,1,3,4,680,1,1,1,3,11,2,4,11,3,5,11,4
2023-10-30,2,1,3,580,1,2,5,2080,1,5,2,1340,2,6,5,1,15,1,2,11,1,1,1,1
2023-10-31,1,3,4,440,1,2,4,750,1,3,4,1330,1,1,7,1,15,1,1,15,1,1,1,1
2023-11-01,1,5,4,6160,1,2,3,510,1,2,5,1400,21,2,7,2,15,1,1,15,1,1,1,1
2023-11-02,2,4,1,42760,1,3,5,1760,3,5,1,38790,89,7,66,1,1,1,2,15,1,1,1,1
2023-11-11,1,2,3,710,1,2,3,870,1,4,2,930,2,3,3,4,11,3,4,11,3,3,11,2
2023-11-12,1,4,2,2270,4,1,5,4090,1,4,2,970,5,17,3,9,9,8,9,9,8,9,9,8
2023-11-13,1,4,2,1280,1,5,3,1340,6,2,4,83630,4,3,56,3,11,2,2,15,1,2,15,1
2023-11-14,1,2,5,2300,1,3,4,800,1,4,5,1190,8,1,5,2,11,1,3,11,2,3,13,2
2023-11-15,1,4,5,1590,1,4,5,5590,3,1,4,6780,8,21,17,2,11,1,2,11,1,1,11,1
2023-11-16,1,5,2,5730,1,3,6,1120,2,3,5,5880,17,5,21,1,15,1,1,15,1,6,11,5
2023-11-19,3,4,1,7770,1,3,4,1400,5,1,3,3620,28,4,13,2,3,1,2,5,1,2,3,1
2023-11-20,1,2,5,1280,1,5,6,1900,1,2,5,660,3,7,2,1,1,1,1,1,1,1,1,1
2023-11-21,3,6,4,127620,1,5,2,1960,1,2,5,3000,85,9,10,1,1,1,1,1,1,1,3,1
2023-11-22,1,2,6,3280,1,3,4,1130,1,5,2,1130,12,3,3,1,1,1,1,1,1,1,1,1
2023-11-23,1,2,3,450,1,2,6,830,1,4,5,1270,1,2,4,3,5,2,3,5,2,3,5,2
2023-11-24,1,2,3,630,1,3,2,930,1,2,4,960,2,3,1,4,11,3,3,11,2,3,13,2
2023-11-25,2,5,3,6910,2,1,3,4010,1,4,5,3960,29,11,13,1,15,1,1,1,1,1,15,1
2023-11-29,1,4,2,1200,1,2,3,490,1,3,4,760,3,1,3,1,15,1,1,15,1,0,17,1
2023-11-30,1,4,3,960,2,3,6,17000,1,3,6,1230,2,59,4,3,9,2,3,9,2,3,9,2
2023-12-01,1,4,3,3870,4,6,2,132760,1,3,4,970,13,85,4,4,9,3,4,9,3,3,9,2
2023-12-02,1,2,3,610,1,2,4,760,1,3,6,1760,1,3,9,3,11,2,1,15,1,2,15,1
2023-12-03,2,1,5,2710,2,1,6,2440,1,2,5,2000,11,9,9,1,15,1,1,15,1,1,1,1
2023-12-04,1,4,6,3080,1,4,2,2700,1,2,3,740,11,10,1,1,1,1,1,15,1,1,1,1
2023-12-06,1,3,4,690,4,6,5,11780,2,5,1,13500,1,36,28,1,1,1,2,1,1,1,1,1
2023-12-07,3,1,5,13190,1,2,3,500,3,1,4,1150,30,2,3,1,15,1,0,17,1,1,1,1
2023-12-08,2,1,4,2180,4,3,1,4800,3,4,6,5790,7,18,18,2,15,1,2,15,1,2,1,1
2023-12-09,1,2,3,660,1,2,4,1560,2,1,5,4070,2,7,15,2,1,1,1,3,1,2,3,1
2023-12-16,6,3,4,17520,1,2,5,710,3,1,5,19520,41,2,38,7,9,6,7,9,6,7,9,6
2023-12-17,1,2,6,2230,1,6,3,22980,1,2,3,600,8,42,1,4,9,3,5,11,4,4,11,3
2023-12-18,1,2,6,690,1,2,3,810,1,4,5,2590,3,2,8,1,15,1,1,15,1,1,15,1
2023-12-19,1,2,3,540,1,6,2,11430,1,3,2,1450,1,37,3,1,1,1,1,1,1,1,15,1
2023-12-20,1,4,2,1460,1,2,3,460,1,2,3,1050,5,1,1,7,9,6,8,9,7,7,9,6
2023-12-25,2,1,3,2340,1,3,2,1350,1,5,4,3100,8,5,16,4,13,3,3,13,2,1,11,1
2023-12-26,1,3,5,2280,1,2,3,2490,1,3,6,1870,7,10,7,1,1,1,1,1,1,1,15,1
2023-12-27,2,6,4,59470,5,1,2,33160,1,3,4,580,76,61,1,1,15,1,0,17,1,1,15,1
2023-12-28,1,5,2,1680,1,4,2,1250,1,2,3,940,9,5,4,1,15,1,1,1,1,0,17,1
2023-12-29,1,2,3,890,1,5,3,1680,1,2,3,520,3,7,1,1,15,1,1,15,1,1,1,1
2023-12-30,2,4,6,48400,4,1,3,5780,1,3,4,970,58,18,3,5,1,4,4,1,3,2,1,1
2024-01-01,1,2,5,900,4,5,1,24670,1,4,2,1490,1,42,6,0,17,1,1,1,1,1,15,1
2024-01-02,1,3,5,4590,1,3,4,2370,1,3,6,790,18,10,1,1,15,1,1,3,1,1,15,1
2024-01-03,4,2,3,70690,1,3,2,1340,1,2,4,680,88,4,2,3,11,2,2,11,1,2,11,1
2024-01-04,1,2,4,1610,1,2,4,370,2,4,5,44680,8,1,64,1,1,1,1,15,1,1,15,1
2024-01-05,2,1,3,1640,1,2,4,510,1,2,4,620,6,1,1,3,15,2,3,15,2,3,15,2
2024-01-06,1,5,3,5690,1,4,2,1260,2,5,4,1430,16,6,5,1,15,1,1,1,1,1,1,1
2024-01-07,1,3,4,1280,1,3,6,4140,1,3,2,1040,4,15,4,8,9,7,8,9,7,7,9,6
2024-01-11,1,6,5,8150,1,2,4,1370,1,4,6,1430,27,5,4,3,9,2,3,7,2,2,9,1
2024-01-12,2,1,6,6090,1,5,2,5230,1,5,4,3130,21,17,13,1,13,1,1,1,1,1,15,1
2024-01-13,1,6,4,5740,1,5,4,3380,2,1,6,3350,20,13,11,2,15,1,2,13,1,2,11,1
2024-01-14,1,2,5,2310,1,2,4,1050,1,5,3,1620,9,4,7,2,15,1,2,15,1,2,15,1
2024-01-21,1,4,5,2280,1,6,2,6500,1,2,4,1390,7,20,6,4,11,3,3,13,2,1,13,1
2024-01-22,1,2,4,1070,1,2,4,520,4,5,1,7770,2,1,23,7,9,6,7,9,6,7,9,6
